Time [s],Lmtc [m],STIM [ ],Fsee [ ],gamma [ ],Lcerel [ ]
0.088,0.03553275775356767,0.0,3.0078268553112526,0.7233689315340652,0.628219274032488
0.089,0.0354867384416276,0.0,2.959111883159118,0.7199359800894722,0.6054002366939684
0.09,0.03544071912968753,0.0,2.9089830898345013,0.7165284792403402,0.5834100767480319
0.091,0.03539469981774745,0.0,2.857397555209372,0.713147698419205,0.5622186861002074
0.092,0.035348680505807376,0.0,2.8043094596396623,0.7097950204734919,0.5417970503007058
0.093,0.0353026611938673,0.0,2.7496708591468835,0.7064719404359548,0.5221172088189341
0.094,0.035256641881927224,0.0,2.693432629848422,0.7031800626194581,0.5031522167609953
0.095,0.03521062256998715,0.0,2.6355456066641154,0.6999210956038997,0.48487610797776043
0.096,0.03516460325804708,0.0,2.575961940016866,0.696696844645946,0.4672638595129995
0.097,0.035118583946107,0.0,2.514636691301083,0.6935092010144441,0.4502913573428975
0.098,0.03507256463416693,0.0,2.4515296828919864,0.6903601277409711,0.4339353633600459
0.099,0.035026545322226856,0.0,2.386607610992225,0.6872516412817292,0.41817348355670575
0.1,0.034980526010286776,0.0,2.3198464192915855,0.68418578862014,0.4029841373637801
0.101,0.034934506698346704,0.0,2.2512339179941683,0.6811646194053113,0.3883465281035157
0.10200000000000001,0.03488848738640663,0.0,2.1807726161773466,0.6781901528258196,0.37424061451547946
0.10300000000000001,0.03484246807446655,0.0,2.108482715874069,0.675264339065639,0.3606470833168231
0.10400000000000001,0.03479644876252648,0.0,2.0344051942218697,0.67238901538259,0.3475473227592675
0.105,0.03475042945058641,0.0,1.9586048763528292,0.6695658570907286,0.3349233971466018
0.106,0.034704410138646336,0.0,1.8811733775814417,0.6667963240170053,0.32275802227780676
0.107,0.034658390826706256,0.0,1.8022317702385238,0.6640816033410465,0.31103454178218165
0.108,0.034612371514766184,0.0,1.7219328095213355,0.6614225501227506,0.2997369043140717
0.109,0.03456635220282611,0.0,1.640462534911298,0.658819627297058,0.2888496415759733
0.11,0.03452033289088603,0.0,1.558041049214189,0.656272847514959,0.2783578471399269
0.111,0.03447431357894596,0.0,1.4749222652568297,0.653781720017868,0.26824715603820004
0.112,0.03442829426700589,0.0,1.3913923991417625,0.6513452068770008,0.2585037250953173
0.113,0.03438227495506581,0.0,1.3077669777090142,0.6489616945732505,0.2491142139745088
0.114,0.034336255643125736,0.0,1.2243861190873822,0.6466289891835013,0.24006576691262577
0.115,0.034290236331185664,0.0,1.14160785032488,0.6443443463854484,0.23134599511851672
0.116,0.034244217019245585,0.0,1.0597992720638534,0.6421045507386853,0.22294295981076342
0.117,0.03419819770730551,0.0,0.9793255160226689,0.6399060611780314,0.21484515587155345
0.11800000000000001,0.03415217839536544,0.0,0.900536738669656,0.6377452391675831,0.2070414960943083
0.11900000000000001,0.03410615908342536,0.0,0.8237539362884956,0.6356186688673228,0.1995212960035002
0.12,0.03406013977148529,0.0,0.7492552050367065,0.6335235601297138,0.1922742592258724
0.121,0.034014120459545216,0.0,0.6772651410374129,0.6314581909343256,0.18529046339303482
0.122,0.03396810114760514,0.0,0.6079510632723119,0.6294222969066261,0.178560346556133
0.123,0.033922081835665065,0.0,0.5414299487723799,0.6274172654522869,0.17207469409398973
0.124,0.03387606252372499,0.0,0.4777884071965989,0.6254459729432013,0.16582462609679446
0.125,0.03383004321178491,0.0,0.4171140288859428,0.6235121581400127,0.15980158520806703
0.126,0.03378402389984484,0.0,0.3595308134432944,0.6216193737325543,0.15399732490824922
0.127,0.03373800458790477,0.0,0.30522703050505584,0.6197697538715096,0.14840389822388225
0.128,0.03369198527596469,0.0,0.25446438250789527,0.6179629652860834,0.14301364684691173
0.129,0.03364596596402462,0.0,0.20756374218906232,0.6161956747633811,0.13781919064922207
0.13,0.033599946652084545,0.0,0.16487244880057036,0.6144616372181976,0.13281342722163383
0.131,0.03361739781157746,0.0,0.2179942346793478,0.6131029955080369,0.12798949292741957
0.132,0.03368646305790208,0.0,0.3693652895766813,0.6125181656356123,0.12334078263883629
0.133,0.0337555283042267,0.0,0.5410499870383428,0.6125587919095482,0.11886093169545339
0.134,0.03382459355055132,0.0,0.6855816217622067,0.6142946993102145,0.1145438064210911
0.135,0.03389365879687594,0.0,0.7397292771817873,0.6189237732782743,0.110383495786268
0.136,0.03396272404320056,0.0,0.7471721206056602,0.6248834412777351,0.1063743035441685
0.137,0.03403178928952518,0.0,0.736797789797363,0.6313386184193216,0.10251074009223331
0.138,0.0341008545358498,0.0,0.719942744352903,0.6379784711635028,0.09878751367232819
0.139,0.03416991978217442,0.0,0.7007416565971933,0.6446910066676608,0.09519952539808527
0.14,0.03423898502849904,0.0,0.6807020130370378,0.6514354257262076,0.09174186833803553
0.14100000000000001,0.034308050274823663,0.0,0.6606064435731984,0.6581900645411745,0.0884098064612845
0.14200000000000002,0.034377115521148284,0.0,0.6407840148926749,0.6649455401075681,0.08519877805208022
0.14300000000000002,0.034446180767472905,0.0,0.6214258760286677,0.6716960799264272,0.0821043865411669
0.14400000000000002,0.034515246013797525,0.0,0.6026550427214018,0.6784376537421772,0.07912239526040792
0.145,0.034584311260122146,0.0,0.5845582335389456,0.6851671211268737,0.07624872143543743
0.146,0.034653376506446766,0.0,0.5671972330454947,0.6918819495392572,0.07347943060524834
0.147,0.03472244175277139,0.0,0.5506146190660873,0.6985800867627897,0.07081073125694023
0.148,0.034791506999096,0.0,0.5348375429519188,0.7052598836221635,0.06823896958940542
0.149,0.03486057224542062,0.0,0.5198803874649254,0.7119200449006592,0.0657606244439486
0.15,0.03492963749174524,0.0,0.5057466683563454,0.7185595990546046,0.0633723025642244
0.151,0.03499870273806986,0.0,0.4924310027078122,0.725177860507051,0.061070733950334674
0.152,0.03506776798439448,0.0,0.4799207682135312,0.7317743969107462,0.058852767381668496
0.153,0.0351368332307191,0.0,0.46819752693242583,0.7383489995396504,0.05671536610237015
0.154,0.03520589847704372,0.0,0.4572382515027727,0.7449016560623123,0.054655603663527993
0.155,0.035274963723368344,0.0,0.4470163787871114,0.7514325253622292,0.05267065991639141
0.156,0.035344028969692964,0.0,0.4375027107840309,0.7579419142302128,0.050757817151129904
0.157,0.035413094216017585,0.0,0.42866618020445624,0.7644302558192976,0.04891445637584769
0.158,0.035482159462342205,0.0,0.42047449653942737,0.7708980897817571,0.04713805373075912
0.159,0.035551224708666826,0.0,0.4128946871225272,0.7773460440219033,0.045426177032615464
0.16,0.035620289954991446,0.0,0.4058935464247139,0.7837748180056104,0.04377648244465165
0.161,0.03568935520131607,0.0,0.39943800557382403,0.7901851675710505,0.04218671126749369
0.162,0.03575842044764069,0.0,0.393495432872642,0.7965778911862204,0.04065468684663305
0.163,0.03582748569396531,0.0,0.38803387492093466,0.802953817598139,0.03917831159223367
0.164,0.03589655094028993,0.0,0.38302224684464664,0.8093137948165513,0.0377555641071914
0.165,0.03596561618661455,0.0,0.37843047911385713,0.815658680371997,0.036384496419513565
0.166,0.03603468143293917,0.0,0.3742296274982369,0.8219893327845832,0.03506323131522953
0.167,0.03610374667926379,0.0,0.37039195186664564,0.8283066041761245,0.03378995976818035
0.168,0.03617281192558841,0.0,0.36689096878566757,0.8346113339548131,0.032562938463168635
0.169,0.03624187717191303,0.0,0.3637014822064725,0.840904343498587,0.03138048740907744
0.17,0.03631094241823765,0.0,0.3607995959441016,0.8471864317610613,0.030240987638689966
0.171,0.03638000766456227,0.0,0.3581627111419775,0.853458371722495,0.029142878992060976
0.17200000000000001,0.03644907291088689,0.0,0.35576951146860514,0.8597209076078387,0.028084657980404854
0.17300000000000001,0.03651813815721151,0.0,0.3535999384065614,0.8659747527945043,0.027064875727575682
0.17400000000000002,0.036587203403536134,0.0,0.3516351586580764,0.8722205883340582,0.026082135986320868
0.17500000000000002,0.036656268649860754,0.0,0.34985752540026394,0.8784590620145286,0.025135093226592277
0.176,0.03672533389618537,0.0,0.3482505348700508,0.8846907878932809,0.024222450793297455
0.177,0.03679439914250999,0.0,0.34679877953972954,0.8909163462343435,0.023342959130968458
0.178,0.03686346438883461,0.0,0.34548789895235305,0.8971362837885027,0.02249541407291796
0.179,0.03693252963515923,0.0,0.34430452912036735,0.9033511143592851,0.021678655192539736
0.18,0.03700159488148385,0.0,0.3432362512450246,0.9095613196029496,0.02089156421449648
0.181,0.03707066012780847,0.0,0.3422715403879368,0.9157673500157051,0.02013306348361957
0.182,0.03713972537413309,0.0,0.3413997146149225,0.9219696260664234,0.019402114489424412
0.183,0.03720879062045771,0.0,0.3406108850366944,0.9281685394380316,0.01869771644422118
0.184,0.03727785586678233,0.0,0.3398959070862723,0.9343644543454771,0.018018904912874223
0.185,0.03734692111310695,0.0,0.33924633330068693,0.9405577089025828,0.01736475049233398
0.186,0.03741598635943157,0.0,0.33865436781168273,0.9467486165142228,0.01673435753913351
0.187,0.037485051605756194,0.0,0.3381128226957123,0.9529374672740157,0.01612686294310737
0.188,0.037554116852080814,0.0,0.3376150762878722,0.959124529351138,0.015541434945653841
0.189,0.037623182098405435,0.0,0.33715503352459236,0.9653100503529173,0.014977272000922566
0.19,0.037692247344730055,0.0,0.3367270883475491,0.9714942586525591,0.014433601678368284
0.191,0.037761312591054676,0.0,0.3363260881733352,0.9776773646737275,0.013909679605168198
0.192,0.037830377837379296,0.0,0.3359473004110082,0.9838595621257502,0.01340478844705487
0.193,0.03789944308370391,0.0,0.3355863809914571,0.9900410291849725,0.012918236926169314
0.194,0.03796850833002853,0.0,0.33523934485765455,0.9962219296192774,0.012449358874589509
0.195,0.03803757357635315,0.0,0.3349025382894082,1.0024024138566894,0.011997512322238507
0.196,0.03810663882267777,0.0,0.3345726079598211,1.0085826202058767,0.01156207861792331
0.197,0.03817570406900239,0.0,0.33424647884760317,1.0147626757236294,0.011142461582301076
0.198,0.03824476931532701,0.0,0.333921338707669,1.0209426968210578,0.010738086691612933
0.199,0.03831383456165163,0.0,0.3335946161545998,1.0271227901428763,0.010348400291067799
0.2,0.03838289980797625,0.0,0.3332639602433286,1.0333030533918386,0.009972868836799202
0.201,0.038451965054300874,0.0,0.33292722200595976,1.0394835760778085,0.00961097816535722
0.202,0.038521030300625494,0.0,0.33258243760717066,1.045664440204243,0.009262232789735356
0.203,0.038590095546950115,0.0,0.3322278129016959,1.05184572090008,0.008926155220968473
0.20400000000000001,0.038659160793274736,0.0,0.33186170924312525,1.0580274870025006,0.00860228531437299
0.20500000000000002,0.038728226039599356,0.0,0.33148263042926057,1.0642098015946981,0.008290179639534207
0.20600000000000002,0.03879729128592398,0.0,0.3310892106903215,1.0703927225020449,0.007989410873178155
0.20700000000000002,0.0388663565322486,0.0,0.3306802036386584,1.0765763027496325,0.007699567214096761
0.20800000000000002,0.03893542177857322,0.0,0.33025447210752756,1.082760590983885,0.0074202518193252145
0.209,0.03900448702489784,0.0,0.32981097881213906,1.0889456318607678,0.007151082260799616
0.21,0.03907355227122246,0.0,0.3293487777715893,1.0951314664029568,0.006891690001750921
0.211,0.03914261751754708,0.0,0.32886700643423056,1.1013181323282082,0.006641719892118392
0.212,0.0392116827638717,0.0,0.3283648784530091,1.1075056643510368,0.006400829682291552
0.213,0.03928074801019632,0.0,0.3278416770608651,1.1136940944596987,0.006168689554514976
0.214,0.03934981325652094,0.0,0.3272967489996074,1.1198834521703536,0.00594498167131432
0.215,0.03941887850284556,0.0,0.3267294989589463,1.1260737647601635,0.005729399740325272
0.216,0.039487943749170175,0.0,0.3261393844852001,1.1322650574809843,0.005521648594929649
0.217,0.039557008995494795,0.0,0.3255242522417947,1.138457423443905,0.005321443790124434
0.21739130434782603,0.03958119772994107,0.0,0.31993588729678435,1.1408528844041226,0.005245097328324566
